left_model,right_model,metric,users,iterations,seed,difference,relative_difference,ci_lower,ci_upper,ci_excludes_zero
countsketch_cf,popularity,ndcg_at_10,1000,2000,42,0.0511079304493876,0.4995099054625208,0.03954399300203987,0.06300835590102626,True
countsketch_cf,popularity,recall_at_10,1000,2000,42,0.05265166993269624,0.5974697703943715,0.03922682800625218,0.06586061892780776,True
lightfm_id,countsketch_cf,ndcg_at_10,1000,2000,42,0.02992573103831767,0.1950523733742629,0.01713945245652255,0.04278322489101279,True
lightfm_id,countsketch_cf,recall_at_10,1000,2000,42,0.01815911632326976,0.12899291246275166,0.0041706372009039415,0.03187315996481594,True
lightfm_hybrid,countsketch_cf,ndcg_at_10,1000,2000,42,0.021258303332275092,0.13855910532514634,0.0073545987606237475,0.03508436993703166,True
lightfm_hybrid,countsketch_cf,recall_at_10,1000,2000,42,0.007484447033737073,0.05316561686527645,-0.006714810923893292,0.021519178195265037,False
lightfm_hybrid,lightfm_id,ndcg_at_10,1000,2000,42,-0.008667427706042577,-0.04727262947447758,-0.018413101260564113,0.0007755908415723952,False
lightfm_hybrid,lightfm_id,recall_at_10,1000,2000,42,-0.010674669289532689,-0.06716365954155357,-0.021245647731825933,-0.0002832312926538857,True
item_item_cosine,countsketch_cf,ndcg_at_10,1000,2000,42,0.011536131620449197,0.0751911406690566,0.003560042305353227,0.01943207106418063,True
item_item_cosine,countsketch_cf,recall_at_10,1000,2000,42,0.006411857264887771,0.04554649731680338,-0.0021376227935288945,0.014878040053372944,False
als,countsketch_cf,ndcg_at_10,1000,2000,42,0.030652250681037357,0.19978774242620181,0.01724426425206989,0.044583689517388836,True
als,countsketch_cf,recall_at_10,1000,2000,42,0.05001864728059882,0.3553064408703434,0.036438584704768615,0.06376017630826247,True
lightfm_id,als,ndcg_at_10,1000,2000,42,-0.0007265196427196641,-0.003946838998673974,-0.013336880743220092,0.012060221071995234,False
lightfm_id,als,recall_at_10,1000,2000,42,-0.031859530957329074,-0.16698328996522666,-0.044761110643267155,-0.01873869798366185,True
lightfm_hybrid,als,ndcg_at_10,1000,2000,42,-0.009393947348762255,-0.051032891015571895,-0.02248612500036157,0.0042192664348311305,False
lightfm_hybrid,als,recall_at_10,1000,2000,42,-0.042534200246861775,-0.2229317406704273,-0.05607457565749495,-0.029396028234268873,True
