source,depth,candidates,recall,head_recall,mid_tail_recall,long_tail_recall,p50_latency_ms,p95_latency_ms
countsketch,100,100,0.383858,0.387848,0.028312,0.0,5.137,7.147
countsketch,300,300,0.549896,0.557659,0.031371,0.0,5.137,7.147
countsketch,500,500,0.615213,0.624069,0.042049,0.0,5.137,7.147
countsketch,1000,1000,0.707706,0.717592,0.099221,0.0,5.137,7.147
als,100,100,0.622596,0.636409,0.000519,0.0,9.706,10.967
als,300,300,0.793192,0.810026,0.041501,0.0,9.706,10.967
als,500,500,0.849993,0.867842,0.053709,0.0,9.706,10.967
als,1000,1000,0.902705,0.912633,0.330101,0.0,9.706,10.967
item_item,100,100,0.394719,0.400876,0.027273,0.0,6.563,8.384
item_item,300,300,0.669103,0.679975,0.055613,0.666667,6.563,8.384
item_item,500,500,0.800875,0.809511,0.230447,0.666667,6.563,8.384
item_item,1000,1000,0.898273,0.906732,0.48557,0.666667,6.563,8.384
content,100,100,0.319577,0.322423,0.033853,0.0,730.742,1013.17
content,300,300,0.504748,0.513094,0.072237,0.0,730.742,1013.17
content,500,500,0.596762,0.606919,0.088485,0.0,730.742,1013.17
content,1000,1000,0.748519,0.762502,0.149134,0.0,730.742,1013.17
als+content,100,100,0.571628,0.581763,0.033853,0.0,740.615,1023.032
als+content,300,300,0.752399,0.766974,0.055094,0.0,740.615,1023.032
als+content,500,500,0.836333,0.853015,0.093016,0.0,740.615,1023.032
als+content,1000,1000,0.917006,0.932884,0.176046,0.0,740.615,1023.032
als+countsketch,100,100,0.604755,0.614218,0.027273,0.0,14.93,16.997
als+countsketch,300,300,0.781309,0.796577,0.02987,0.0,14.93,16.997
als+countsketch,500,500,0.855784,0.873113,0.051631,0.0,14.93,16.997
als+countsketch,1000,1000,0.924003,0.940991,0.12355,0.0,14.93,16.997
als+item_item,100,100,0.62113,0.632562,0.027273,0.0,16.437,18.979
als+item_item,300,300,0.797794,0.813747,0.029351,0.0,16.437,18.979
als+item_item,500,500,0.877671,0.894928,0.084473,0.666667,16.437,18.979
als+item_item,1000,1000,0.943788,0.955887,0.381126,0.666667,16.437,18.979
als+content+item_item,100,100,0.570396,0.580432,0.033853,0.0,747.601,1030.57
als+content+item_item,300,300,0.76396,0.778431,0.034372,0.0,747.601,1030.57
als+content+item_item,500,500,0.849701,0.866497,0.074315,0.333333,747.601,1030.57
als+content+item_item,1000,1000,0.927666,0.941401,0.245137,0.666667,747.601,1030.57
