model,bucket,users,heldout_items,recall_at_10,ndcg_at_10,recommendation_exposure
countsketch_cf,head,799,7557,0.1449309950288633,0.1523970378898912,0.9876875
countsketch_cf,mid_tail,132,268,0.00946969696969697,0.0031708037910636996,0.011125
countsketch_cf,long_tail,4,4,0.0,0.0,0.0011875
als,head,799,7557,0.25182882261681033,0.2640645750479318,1.0
als,mid_tail,132,268,0.0,0.0,0.0
als,long_tail,4,4,0.0,0.0,0.0
current_hybrid,head,799,7557,0.17040184317833543,0.18238106164734785,0.994375
current_hybrid,mid_tail,132,268,0.007575757575757576,0.002930703085110164,0.00525
current_hybrid,long_tail,4,4,0.0,0.0,0.000375
current_hybrid_als,head,799,7557,0.2481291660864731,0.2647321342241463,0.9993125
current_hybrid_als,mid_tail,132,268,0.0,0.0,0.0004375
current_hybrid_als,long_tail,4,4,0.0,0.0,0.00025
