model,segment,users,ndcg_at_10,recall_at_10,hit_rate_at_10
countsketch_cf,sparse,30,0.13915272376423662,0.26666666666666666,0.26666666666666666
countsketch_cf,medium,100,0.1714057981566305,0.22,0.37
countsketch_cf,heavy,670,0.14919121396632906,0.12594114194710182,0.6223880597014926
als,sparse,30,0.17339290107006902,0.3333333333333333,0.3333333333333333
als,medium,100,0.25012885789073275,0.34,0.49
als,heavy,670,0.2681739868491328,0.22989818373422968,0.8417910447761194
current_hybrid,sparse,30,0.17881867546731195,0.3,0.3
current_hybrid,medium,100,0.221071654653886,0.3,0.47
current_hybrid,heavy,670,0.1756696729533032,0.14266557683350242,0.6701492537313433
current_hybrid_als,sparse,30,0.1829032985160753,0.3333333333333333,0.3333333333333333
current_hybrid_als,medium,100,0.24294932081898815,0.33,0.48
current_hybrid_als,heavy,670,0.2694711132744515,0.22648974827802928,0.8402985074626865
