model,segment,users,ndcg_at_10,recall_at_10,hit_rate_at_10
popularity,heavy,100,0.10983863673429313,0.07462578171908509,0.47
popularity,medium,100,0.08347200248104962,0.105,0.19
popularity,sparse,100,0.06747620635393053,0.1,0.1
countsketch_cf,heavy,100,0.1510460272732582,0.1246640320839146,0.63
countsketch_cf,medium,100,0.1242225315197645,0.19,0.31
countsketch_cf,sparse,100,0.13190240330221917,0.2,0.2
lightfm_id,heavy,100,0.20510459582984508,0.1469208869196805,0.74
lightfm_id,medium,100,0.11443817254464486,0.185,0.32
lightfm_id,sparse,100,0.09306316735205687,0.15,0.15
lightfm_hybrid,heavy,100,0.18699932383015894,0.14467277478779622,0.72
lightfm_hybrid,medium,100,0.11654638699924263,0.155,0.26
lightfm_hybrid,sparse,100,0.08657065391288793,0.14,0.14
