model,bucket,users,heldout_items,recall_at_10,ndcg_at_10,recommendation_exposure
popularity,head,119,3856,0.04501130240706265,0.13089945571015366,1.0
popularity,long_tail,100,704,0.0,0.0,0.0
popularity,mid_tail,100,1211,0.0,0.0,0.0
countsketch_cf,head,119,3856,0.07782284844358087,0.15665445687272453,0.9584033613445379
countsketch_cf,long_tail,100,704,0.010071942446043165,0.007180906091554866,0.01050420168067227
countsketch_cf,mid_tail,100,1211,0.002579365079365079,0.003324917290042637,0.031092436974789917
lightfm_id,head,119,3856,0.08588894576158955,0.22021014031483443,1.0
lightfm_id,long_tail,100,704,0.0,0.0,0.0
lightfm_id,mid_tail,100,1211,0.0,0.0,0.0
lightfm_hybrid,head,119,3856,0.09251861994433817,0.20978298277219767,0.9978991596638656
lightfm_hybrid,long_tail,100,704,0.0,0.0,0.0
lightfm_hybrid,mid_tail,100,1211,0.0,0.0,0.0021008403361344537
