left,right,metric,users,difference,relative,ci_lower,ci_upper,ci_excludes_zero
fast_als,hybrid_countsketch,ndcg_at_10,800,0.07734,0.4262,0.064078,0.089747,True
fast_als,hybrid_countsketch,recall_at_10,800,0.079761,0.474109,0.064825,0.093563,True
fast_als,hybrid_countsketch,ndcg_at_20,800,0.088882,0.444335,0.076603,0.10029,True
fast_als,hybrid_countsketch,recall_at_20,800,0.117716,0.491555,0.101017,0.132832,True
fast_als_item_item,hybrid_countsketch,ndcg_at_10,800,0.054012,0.297648,0.042724,0.065443,True
fast_als_item_item,hybrid_countsketch,recall_at_10,800,0.076352,0.453851,0.0627,0.089311,True
fast_als_item_item,hybrid_countsketch,ndcg_at_20,800,0.066001,0.329949,0.05533,0.076311,True
fast_als_item_item,hybrid_countsketch,recall_at_20,800,0.111353,0.464984,0.096004,0.125365,True
fast_als_diversity,hybrid_countsketch,ndcg_at_10,800,0.062801,0.346079,0.048873,0.076365,True
fast_als_diversity,hybrid_countsketch,recall_at_10,800,0.071312,0.423888,0.055693,0.085532,True
fast_als_diversity,hybrid_countsketch,ndcg_at_20,800,0.077974,0.389808,0.065086,0.090282,True
fast_als_diversity,hybrid_countsketch,recall_at_20,800,0.114907,0.479824,0.097753,0.130417,True
fast_segment_routed,hybrid_countsketch,ndcg_at_10,800,0.076052,0.419106,0.062385,0.0889,True
fast_segment_routed,hybrid_countsketch,recall_at_10,800,0.077261,0.459249,0.062973,0.091094,True
fast_segment_routed,hybrid_countsketch,ndcg_at_20,800,0.086971,0.434783,0.074384,0.099098,True
fast_segment_routed,hybrid_countsketch,recall_at_20,800,0.112716,0.470676,0.094677,0.129063,True
fast_global_als,hybrid_countsketch,ndcg_at_10,800,0.07734,0.4262,0.064078,0.089747,True
fast_global_als,hybrid_countsketch,recall_at_10,800,0.079761,0.474109,0.064825,0.093563,True
fast_global_als,hybrid_countsketch,ndcg_at_20,800,0.088882,0.444335,0.076603,0.10029,True
fast_global_als,hybrid_countsketch,recall_at_20,800,0.117716,0.491555,0.101017,0.132832,True
