arm,segment,users,ndcg_at_10,recall_at_10,ndcg_at_20
fast_als,sparse,30,0.200306,0.333333,0.224782
fast_als,medium,100,0.227793,0.34,0.258631
fast_als,heavy,670,0.26605,0.230439,0.296306
fast_als_item_item,sparse,30,0.199907,0.333333,0.226968
fast_als_item_item,medium,100,0.236342,0.365,0.263356
fast_als_item_item,heavy,670,0.236938,0.222639,0.268182
fast_als_diversity,sparse,30,0.177009,0.3,0.209684
fast_als_diversity,medium,100,0.217469,0.345,0.250009
fast_als_diversity,heavy,670,0.251274,0.221098,0.285245
fast_segment_routed,sparse,30,0.165981,0.266667,0.173828
fast_segment_routed,medium,100,0.227793,0.34,0.258631
fast_segment_routed,heavy,670,0.26605,0.230439,0.296306
fast_global_als,sparse,30,0.200306,0.333333,0.224782
fast_global_als,medium,100,0.227793,0.34,0.258631
fast_global_als,heavy,670,0.26605,0.230439,0.296306
hybrid_countsketch,sparse,30,0.178819,0.3,0.215178
hybrid_countsketch,medium,100,0.221072,0.3,0.236179
hybrid_countsketch,heavy,670,0.17567,0.142666,0.19396
