model,segment,users,ndcg_at_10,recall_at_10,hit_rate_at_10
random,sparse,28,0.0,0.0,0.0
random,medium,77,0.0,0.0,0.0
random,heavy,695,0.001394657267273029,0.0005936473174119069,0.014388489208633094
popularity,sparse,28,0.15164790838782577,0.21428571428571427,0.21428571428571427
popularity,medium,77,0.07809787282663154,0.09090909090909091,0.14285714285714285
popularity,heavy,695,0.12001111654446296,0.07828096710652584,0.5582733812949641
countsketch_cf,sparse,28,0.1417565210139382,0.25,0.25
countsketch_cf,medium,77,0.15699419517911684,0.22077922077922077,0.35064935064935066
countsketch_cf,heavy,695,0.15317936259171308,0.10333434535863288,0.6661870503597123
als,sparse,28,0.2491881937904969,0.42857142857142855,0.42857142857142855
als,medium,77,0.2129937435919407,0.3246753246753247,0.4805194805194805
als,heavy,695,0.29579551850679386,0.21516745204459833,0.8906474820143885
oracle,sparse,28,1.0,1.0,1.0
oracle,medium,77,1.0,1.0,1.0
oracle,heavy,695,1.0,0.7493712899200362,1.0
