model,bucket,users,heldout_items,recall_at_10,ndcg_at_10,recommendation_exposure
random,head,799,7557,0.0008515761661140752,0.0007029329048834946,0.1953125
random,mid_tail,132,268,0.000946969696969697,0.0009581162983623376,0.303625
random,long_tail,4,4,0.0,0.0,0.5010625
popularity,head,799,7557,0.10170762705028856,0.10930070681470368,1.0
popularity,mid_tail,132,268,0.0,0.0,0.0
popularity,long_tail,4,4,0.0,0.0,0.0
countsketch_cf,head,799,7557,0.1449309950288633,0.1523970378898912,0.9876875
countsketch_cf,mid_tail,132,268,0.00946969696969697,0.0031708037910636996,0.011125
countsketch_cf,long_tail,4,4,0.0,0.0,0.0011875
als,head,799,7557,0.25182882261681033,0.2640645750479318,1.0
als,mid_tail,132,268,0.0,0.0,0.0
als,long_tail,4,4,0.0,0.0,0.0
oracle,head,799,7557,0.8660541609920407,0.9922174106459846,0.8891875
oracle,mid_tail,132,268,0.534568440818441,0.26886118737732656,0.078375
oracle,long_tail,4,4,0.25,0.0752574989159953,0.0324375
